CODE;LIBELLE;URL
54395;Nancy;https://upload.wikimedia.org/wikipedia/commons/a/a7/Blason_Nancy_54.svg
54528;Toul;https://upload.wikimedia.org/wikipedia/commons/0/00/Blason_Toul_54.svg
55029;Bar-le-Duc;https://upload.wikimedia.org/wikipedia/commons/0/09/Blason_ville_fr_Bar-le-Duc-A_%28Meuse%29.svg
55122;Commercy;https://upload.wikimedia.org/wikipedia/commons/e/e5/Blason_Commercy_55.svg
55545;Verdun;https://upload.wikimedia.org/wikipedia/commons/c/c2/Blason_Verdun_55.svg
56121;Lorient;https://upload.wikimedia.org/wikipedia/commons/7/7a/Blason_ville_fr_Lorient_%28Morbihan%29.svg
56178;Pontivy;https://upload.wikimedia.org/wikipedia/commons/9/91/COA_fr_Pontivy.svg
56260;Vannes;https://upload.wikimedia.org/wikipedia/commons/6/64/COA_fr_Vannes_56.svg
57227;Forbach;https://upload.wikimedia.org/wikipedia/commons/b/b7/Blason_Forbach_57.svg
57630;Sarrebourg;https://upload.wikimedia.org/wikipedia/commons/d/d0/Blason_Sarrebourg_57.svg
57631;Sarreguemines;https://upload.wikimedia.org/wikipedia/commons/d/d4/Blason_57_Sarreguemines.svg
57672;Thionville;https://upload.wikimedia.org/wikipedia/commons/0/03/Blason_ville_fr_Thionville_%28Moselle%29.svg
57463;Metz;https://upload.wikimedia.org/wikipedia/commons/3/3c/Blason_Metz_57.svg
58062;Château-Chinon (Ville);https://upload.wikimedia.org/wikipedia/commons/5/57/Blason_ville_fr_Ch%C3%A2teau-Chinon%28Ville%29.svg
58079;Clamecy;https://upload.wikimedia.org/wikipedia/commons/f/fc/Blason_comte_fr_Nevers.svg
58194;Nevers;https://upload.wikimedia.org/wikipedia/commons/f/fc/Blason_comte_fr_Nevers.svg
58086;Cosne-Cours-sur-Loire;https://upload.wikimedia.org/wikipedia/commons/1/16/Blason_Cosne.svg
59036;Avesnes-sur-Helpe;https://upload.wikimedia.org/wikipedia/commons/7/7c/Ecu_band%C3%A9_or_gueules.svg
59122;Cambrai;https://upload.wikimedia.org/wikipedia/commons/2/2c/Blason_cambrai.svg
59178;Douai;https://upload.wikimedia.org/wikipedia/commons/5/53/Blason_Vide_Moderne_3D.svg
59183;Dunkerque;https://upload.wikimedia.org/wikipedia/commons/7/7c/Blason_ville_fr_Dunkerque_%28Nord%292.svg
59350;Lille;https://upload.wikimedia.org/wikipedia/commons/c/cd/Blason_ville_fr_Lille_%28Nord%29.svg
59606;Valenciennes;https://upload.wikimedia.org/wikipedia/commons/2/26/Blason_valenciennes.svg
60057;Beauvais;https://upload.wikimedia.org/wikipedia/commons/6/66/Blason_ville_fr_Beauvais_%28Oise%29.svg
60157;Clermont;https://upload.wikimedia.org/wikipedia/commons/c/c1/Blason_de_la_ville_de_Clermont_%2860%29.svg
60159;Compiègne;https://upload.wikimedia.org/wikipedia/commons/a/a2/Blason_ville_fr_Compi%C3%A8gne_%28Oise%29.svg
60612;Senlis;https://upload.wikimedia.org/wikipedia/commons/0/03/Blason_de_Senlis.svg
61001;Alençon;https://upload.wikimedia.org/wikipedia/commons/2/2e/Blason_Alen%C3%A7on.svg
61006;Argentan;https://upload.wikimedia.org/wikipedia/commons/a/ab/Blason_ville_fr_Argentan_%28Orne%29.svg
61293;Mortagne-au-Perche;https://upload.wikimedia.org/wikipedia/commons/5/51/Blason_ville_fr_Mortagne-au-Perche_%28Orne%29.svg
62041;Arras;https://upload.wikimedia.org/wikipedia/commons/4/4e/Blason_ville_fr_Arras_%28Pas-de-Calais%29.svg
62119;Béthune;https://upload.wikimedia.org/wikipedia/commons/1/16/Blason_Maison_de_B%C3%A9thune.svg
62160;Boulogne-sur-Mer;https://upload.wikimedia.org/wikipedia/commons/b/b5/Blason_ville_fr_Boulogne-sur-Mer_%28Pas-de-Calais%29.svg
62588;Montreuil-sur-Mer;https://upload.wikimedia.org/wikipedia/commons/0/03/Blason_ville_fr_Montreuil-sur-Mer_%28Pas-de-Calais%29.svg
62765;Saint-Omer;https://upload.wikimedia.org/wikipedia/commons/9/95/Blason_ville_fr_Saint-Omer.svg
62193;Calais;https://upload.wikimedia.org/wikipedia/commons/5/53/Blason_ville_fr_Calais_%28Pas-de-Calais%29.svg
62498;Lens;https://upload.wikimedia.org/wikipedia/commons/8/8f/Blason_ville_fr_Lens_%28Pas-de-Calais%29.svg
63003;Ambert;https://upload.wikimedia.org/wikipedia/commons/9/95/Blason_ville_fr_Ambert_%28Puy-de-D%C3%B4me%29.svg
63113;Clermont-Ferrand;https://upload.wikimedia.org/wikipedia/commons/a/a8/Blason_ville_fr_ClermontFerrand_%28PuyDome%29.svg
63178;Issoire;https://upload.wikimedia.org/wikipedia/commons/d/dd/Blason_ville_fr_Issoire_63.svg
63300;Riom;https://upload.wikimedia.org/wikipedia/commons/a/a0/Blason_ville_fr_Riom.svg
63430;Thiers;https://upload.wikimedia.org/wikipedia/commons/2/2b/Blason_ville_fr_Thiers_%28Puy-de-D%C3%B4me%29.svg
64102;Bayonne;https://upload.wikimedia.org/wikipedia/commons/0/0a/Blason_Bayonne.svg
64422;Oloron-Sainte-Marie;https://upload.wikimedia.org/wikipedia/commons/7/70/Blason_Oloron-Sainte-Marie.svg
64445;Pau;https://upload.wikimedia.org/wikipedia/commons/b/b0/Arms_of_Pau.svg
65025;Argelès-Gazost;https://upload.wikimedia.org/wikipedia/commons/e/ec/Blason_de_la_ville_d%27Argel%C3%A8s-Gazost_%28Hautes-Pyr%C3%A9n%C3%A9es%29.svg
